year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,bottle_size,bottle_category,total_sales,quarter,sales_activity
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,100009,BOOTLEG RED,WINE,0.0,0.0,2.0,BOOTLEG RED - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,PWSWN INC,100024,MOMENT DE PLAISIR,WINE,0.0,1.0,4.0,MOMENT DE PLAISIR - 750ML,750ML,STANDARD,5.0,1,LOW
2020,1,RELIABLE CHURCHILL LLLP,1001,S SMITH ORGANIC PEAR CIDER,BEER,0.0,0.0,1.0,S SMITH ORGANIC PEAR CIDER - 18.7OZ,18.7OZ,OTHER,1.0,1,LOW
2020,1,LANTERNA DISTRIBUTORS INC,100145,SCHLINK HAUS KABINETT,WINE,0.0,0.0,1.0,SCHLINK HAUS KABINETT - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,DIONYSOS IMPORTS INC,100293,SANTORINI GAVALA WHITE,WINE,0.82,0.0,0.0,SANTORINI GAVALA WHITE - 750ML,750ML,STANDARD,0.82,1,LOW
2020,1,KYSELA PERE ET FILS LTD,100641,CORTENOVA VENETO P/GRIG,WINE,2.76,0.0,6.0,CORTENOVA VENETO P/GRIG - 750ML,750ML,STANDARD,8.76,1,LOW
2020,1,SANTA MARGHERITA USA INC,100749,SANTA MARGHERITA P/GRIG ALTO,WINE,0.08,1.0,1.0,SANTA MARGHERITA P/GRIG ALTO - 375ML,375ML,MEDIUM,2.08,1,LOW
2020,1,BROWN-FORMAN BEVERAGES WORLDWIDE,1008,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH,BEER,0.0,0.0,2.0,JACK DANIELS COUNTRY COCKTAIL SOUTHERN PEACH - 10.OZ-NR,10.OZ,OTHER,2.0,1,LOW
2020,1,JIM BEAM BRANDS CO,10103,KNOB CREEK BOURBON 9YR - 100P,LIQUOR,6.41,4.0,0.0,KNOB CREEK BOURBON 9YR - 100P - 375ML,375ML,MEDIUM,10.41,1,LOW
2020,1,INTERNATIONAL CELLARS LLC,101117,KSARA CAB,WINE,0.33,1.0,2.0,KSARA CAB - 750ML,750ML,STANDARD,3.33,1,LOW
2020,1,HEAVEN HILL DISTILLERIES INC,10120,J W DANT BOURBON 100P,LIQUOR,1.7,1.0,0.0,J W DANT BOURBON 100P - 1.75L,1.75L,LARGE,2.7,1,LOW
2020,1,BACCHUS IMPORTERS LTD,10123,NOTEWORTHY SMALL BATCH BOURBON,LIQUOR,1.02,0.0,0.0,NOTEWORTHY SMALL BATCH BOURBON - 750ML,750ML,STANDARD,1.02,1,LOW
2020,1,BACCHUS IMPORTERS LTD,10124,NOTEWORTHY SMALL BATCH RYE,LIQUOR,0.68,0.0,0.0,NOTEWORTHY SMALL BATCH RYE 750ML,750ML,STANDARD,0.68,1,LOW
2020,1,BACCHUS IMPORTERS LTD,10125,NOTEWORTHY SMALL BATCH HONEY BBN,LIQUOR,0.34,0.0,0.0,NOTEWORTHY SMALL BATCH HONEY BBN 750,750ML,STANDARD,0.34,1,LOW
2020,1,MONSIEUR TOUTON SELECTION,101346,ALSACE WILLIAM GEW,WINE,0.0,0.0,2.0,ALSACE WILLIAM GEW - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",101486,POLIZIANO ROSSO MONTEPUL,WINE,0.0,0.0,1.0,POLIZIANO ROSSO MONTEPUL - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",101532,HATSUMAGO SAKE JUN MAI SHU,WINE,0.34,1.0,1.0,HATSUMAGO SAKE JUN MAI SHU - 720ML,720ML,STANDARD,2.34,1,LOW
2020,1,ROYAL WINE CORP,101664,RAMON CORDOVA RIOJA,WINE,0.16,0.0,2.0,RAMON CORDOVA RIOJA - 750ML,750ML,STANDARD,2.16,1,LOW
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,101702,MANISCHEWITZ CREAM RED CONCORD,WINE,0.0,0.0,1.0,MANISCHEWITZ CREAM RED CONCORD - 1.5L,1.5L,LARGE,1.0,1,LOW
2020,1,ROYAL WINE CORP,101753,BARKAN CLASSIC PET SYR,WINE,0.0,0.0,3.0,BARKAN CLASSIC PET SYR - 750ML,750ML,STANDARD,3.0,1,LOW
2020,1,ROYAL WINE CORP,101915,WEINSTOCK CAB,WINE,0.0,0.0,1.0,WEINSTOCK CAB - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,ROYAL WINE CORP,101923,WEINSTOCK CHARD,WINE,0.0,0.0,1.0,WEINSTOCK CHARD - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,JIM BEAM BRANDS CO,10197,KNOB CREEK BOURBON 9YR - 100P,LIQUOR,12.72,11.84,0.0,KNOB CREEK BOURBON 9YR - 100P - 1.75L,1.75L,LARGE,24.560000000000002,1,LOW
2020,1,STE MICHELLE WINE ESTATES,101974,CH ST MICH P/GRIS,WINE,11.17,11.0,9.0,CH ST MICH P/GRIS - 750ML,750ML,STANDARD,31.17,1,LOW
2020,1,SAZERAC CO,102032,FUKI SAKE,WINE,1.25,0.0,1.0,FUKI SAKE - 750ML,750ML,STANDARD,2.25,1,LOW
2020,1,MONSIEUR TOUTON SELECTION,102083,CH DE LA CHESNAIE MUSCADET,WINE,0.32,0.0,0.0,CH DE LA CHESNAIE MUSCADET - 750ML,750ML,STANDARD,0.32,1,LOW
2020,1,MONSIEUR TOUTON SELECTION,102148,MONSIEUR TOUTON S/BLC,WINE,0.0,0.0,6.0,MONSIEUR TOUTON S/BLC - 750ML,750ML,STANDARD,6.0,1,LOW
2020,1,JIM BEAM BRANDS CO,10243,OLD GRAND DAD BOURBON 100P,LIQUOR,1.21,1.0,0.0,OLD GRAND DAD BOURBON 100P - 750ML,750ML,STANDARD,2.21,1,LOW
2020,1,SALVETO IMPORTS LLC,10245,CRICOVA ORIGINAL WH,WINE,1.91,4.0,147.0,CRICOVA ORIGINAL WH - 750ML,750ML,STANDARD,152.91,1,MEDIUM
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10246,HILLROCK DOUBLE CASK RYE,LIQUOR,0.51,0.0,0.0,HILLROCK DOUBLE CASK RYE - 750ML,750ML,STANDARD,0.51,1,LOW
2020,1,HUB WINE CORPORATION,10264,90+ CELLARS LOT 113 BIG RED BLEND,WINE,0.0,0.0,1.0,90+ CELLARS LOT 113 BIG RED BLEND - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,RELIABLE CHURCHILL LLLP,10269,FEW BOURBON,LIQUOR,0.85,0.0,0.0,FEW BOURBON - 750ML,750ML,STANDARD,0.85,1,LOW
2020,1,ALLAGASH BREWING COMPANY,10271,ALLAGASH SAISON,BEER,0.0,0.0,9.0,ALLAGASH SAISON 6/4 NR 12.0Z,6/4NR,MULTI_PACK,9.0,1,LOW
2020,1,CAMPARI AMERICA LLC,10272,WILD TURKEY AMERICAN HONEY STING,LIQUOR,0.08,0.0,0.0,WILD TURKEY AMERICAN HONEY STING - 750ML,750ML,STANDARD,0.08,1,LOW
2020,1,PERNOD RICARD USA LLC,10276,ABERLOUR 18 YR,LIQUOR,0.51,3.0,0.0,ABERLOUR 18 YR - 750ML,750ML,STANDARD,3.51,1,LOW
2020,1,CAMPARI AMERICA LLC,10278,WILD TURKEY 101,LIQUOR,1.16,0.0,0.0,WILD TURKEY 101 - 200ML,200ML,SMALL,1.16,1,LOW
2020,1,PERNOD RICARD USA LLC,10279,THE GLENLIVET NADURRA FIRST FILL,LIQUOR,0.34,1.0,0.0,THE GLENLIVET NADURRA FIRST FILL - 750ML,750ML,STANDARD,1.34,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",103055,ALLAN SCOTT VYDS S/BLC,WINE,0.0,0.0,6.0,ALLAN SCOTT VYDS S/BLC - 750ML,750ML,STANDARD,6.0,1,LOW
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,10324,DELOACH RR CHARD,WINE,0.0,0.0,2.0,DELOACH RR CHARD - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,BACARDI USA INC,10332,GREY GOOSE VODKA,LIQUOR,33.57,36.0,0.0,GREY GOOSE VODKA - 375ML,375ML,MEDIUM,69.57,1,LOW
2020,1,YOUNG WON TRADING INC,10345,KLOUD,BEER,2.0,2.0,0.0,KLOUD - 500/12 NR,500/12NR,MULTI_PACK,4.0,1,LOW
2020,1,YOUNG WON TRADING INC,10346,KLOUD,BEER,2.75,2.0,7.0,KLOUD - 330/24 NR,330/24NR,MULTI_PACK,11.75,1,LOW
2020,1,TROEGS BREWING COMPANY,10356,TROEGS NUGGET NECTAR,BEER,0.0,0.0,5.0,TROEGS NUGGET NECTAR 4/6 CANS,4/6CANS,MULTI_PACK,5.0,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",103608,VAJRA LANGHE NEBBIOLO DOC,WINE,0.48,0.0,2.0,VAJRA LANGHE NEBBIOLO DOC - 750ML,750ML,STANDARD,2.48,1,LOW
2020,1,CASTLE BRANDS USA CORP,10375,PALLINI LIMONCELLO 6/CS,LIQUOR,11.99,15.0,0.0,PALLINI LIMONCELLO 6/CS - 750ML,750ML,STANDARD,26.990000000000002,1,LOW
2020,1,WASHBURN WINE CO,10394,DE GARRE BELGIUM ALE,BEER,0.0,0.0,2.0,DE GARRE BELGIUM ALE - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,CELICAR LLC DBA TWIN VALLEY DISTILLERS,10401,DIRTY APPLES CINNAMON WHISKEY,LIQUOR,0.17,0.0,0.0,DIRTY APPLES CINNAMON WHISKEY - 750ML,750ML,STANDARD,0.17,1,LOW
2020,1,DIONYSOS IMPORTS INC,104060,LES CHAILLOUX SANCERRE CHERRIE,WINE,2.55,5.0,3.0,LES CHAILLOUX SANCERRE CHERRIE - 750ML,750ML,STANDARD,10.55,1,LOW
2020,1,DOPS INC,10407,21ST AMENDMENT EL SULLY CERVEZA,BEER,0.0,0.0,6.0,21ST AMENDMENT EL SULLY CERVEZA - 4/6 12.0Z,4/6,MULTI_PACK,6.0,1,LOW
2020,1,JACKSON FAMILY ENTERPRISES INC,10413,MURPHY GOODE CHARD,WINE,9.41,8.0,13.0,MURPHY GOODE CHARD - 750ML,750ML,STANDARD,30.41,1,LOW
2020,1,YOUNG WON TRADING INC,104280,SHO CHIKU BAI SAKE,WINE,0.0,0.0,6.0,SHO CHIKU BAI SAKE - 750ML,750ML,STANDARD,6.0,1,LOW
2020,1,BUCK DISTRIBUTING COMPANY INC,10430,STONE IPA,BEER,33.79,45.0,120.75,STONE IPA 4/6 NR - 12OZ,4/6NR,MULTI_PACK,199.54,1,MEDIUM
2020,1,PUNTO VINO LLC,104302,EREDI LODALI BAROLO 6/CS,WINE,1.19,0.0,0.0,EREDI LODALI BAROLO 6/CS - 750ML,750ML,STANDARD,1.19,1,LOW
2020,1,VICTORY BREWING COMPANY LLC,10431,VICTORY GOLDEN MONKEY,BEER,16.75,19.0,191.0,VICTORY GOLDEN MONKEY 4/6 NR,4/6NR,MULTI_PACK,226.75,1,MEDIUM
2020,1,DIONYSOS IMPORTS INC,10432,MYTHOS BEER,BEER,1.5,0.0,35.0,MYTHOS BEER 4/6NR - 11.2OZ,4/6NR,MULTI_PACK,36.5,1,LOW
2020,1,LEGENDS LTD,10434,LAGUNITAS IPA,BEER,63.5,63.0,210.0,LAGUNITAS IPA 4/6 NR - 12OZ,4/6NR,MULTI_PACK,336.5,1,MEDIUM
2020,1,LEGENDS LTD,10435,LAGUNITAS SUMPIN SUMPIN,BEER,15.41,22.0,57.0,LAGUNITAS SUMPIN SUMPIN 4/6 NR - 12OZ,4/6NR,MULTI_PACK,94.41,1,LOW
2020,1,LEGENDS LTD,10436,OSKAR BLUES DALES PALE ALE,BEER,37.0,46.0,113.0,OSKAR BLUES DALES PALE ALE 12.OZ 4/6 CAN,12.OZ,OTHER,196.0,1,MEDIUM
2020,1,LEGENDS LTD,10437,CRISPIN CIDER ORIGINAL,BEER,0.0,0.0,25.0,CRISPIN CIDER ORIGINAL 4/6 NR - 12OZ,4/6NR,MULTI_PACK,25.0,1,LOW
2020,1,LEGENDS LTD,10438,BRECKENRIDGE VANILLA PORTER,BEER,7.0,5.0,54.0,BRECKENRIDGE VANILLA PORTER 4/6 NR - 12OZ,4/6NR,MULTI_PACK,66.0,1,LOW
2020,1,THE WINE GROUP,10439,CONCANNON FOUNDERS CAB,WINE,0.74,0.0,3.0,CONCANNON FOUNDERS CAB - 750ML,750ML,STANDARD,3.74,1,LOW
2020,1,THE WINE GROUP,10440,CONCANNON FOUNDERS CHARD,WINE,0.41,0.0,3.0,CONCANNON FOUNDERS CHARD - 750ML,750ML,STANDARD,3.41,1,LOW
2020,1,THE WINE GROUP,10441,LOVE P/NOIR,WINE,8.49,17.67,25.0,LOVE P/NOIR - 750ML,750ML,STANDARD,51.160000000000004,1,LOW
2020,1,PERNOD RICARD USA LLC,10442,OLMECA ALTOS TEQ - PLATA,LIQUOR,20.95,34.0,4.0,OLMECA ALTOS TEQ - PLATA - 750ML,750ML,STANDARD,58.95,1,LOW
2020,1,PERNOD RICARD USA LLC,10443,OLMECA ALTOS TEQ - REPOSADO,LIQUOR,20.7,38.0,2.0,OLMECA ALTOS TEQ - REPOSADO - 750ML,750ML,STANDARD,60.7,1,LOW
2020,1,PERNOD RICARD USA LLC,10444,JAMESON CASKMATES STOUT,LIQUOR,36.31,29.66,0.0,JAMESON CASKMATES STOUT - 750ML,750ML,STANDARD,65.97,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10445,BRECKENRIDGE BOURBON,LIQUOR,12.07,11.0,2.0,BRECKENRIDGE BOURBON - 750ML,750ML,STANDARD,25.07,1,LOW
2020,1,ELITE WINES IMPORTS,104450,SEIFRIED S/BLC,WINE,0.0,0.0,1.0,SEIFRIED S/BLC - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,DOPS INC,104604,DRY CREEK HERITAGE CLONE ZIN,WINE,0.0,0.0,1.0,DRY CREEK HERITAGE CLONE ZIN - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,LUNEAU USA INC,104639,JULES BERTIER SPARK,WINE,0.0,0.0,2.0,JULES BERTIER SPARK - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,PERNOD RICARD USA LLC,10472,MALIBU RUM - PASSION FRUIT,LIQUOR,3.9,0.0,0.0,MALIBU RUM - PASSION FRUIT - 750ML,750ML,STANDARD,3.9,1,LOW
2020,1,LEGENDS LTD,10475,HITACHINO ANABAI,BEER,0.0,0.0,1.0,HITACHINO ANABAI - 11.2OZ,11.2OZ,OTHER,1.0,1,LOW
2020,1,BARON FRANCOIS LTD,10480,CHATEAU LAUBADE ARMAGNAC VSOP,LIQUOR,2.37,4.0,0.0,CHATEAU LAUBADE ARMAGNAC VSOP - 750ML,750ML,STANDARD,6.37,1,LOW
2020,1,BARON FRANCOIS LTD,10499,CHATEAU LAUBADE ARMAGNAC XO,LIQUOR,1.53,1.0,0.0,CHATEAU LAUBADE ARMAGNAC XO - 750ML,750ML,STANDARD,2.5300000000000002,1,LOW
2020,1,ROYAL WINE CORP,105031,CH DE LA GRAVE RED,WINE,0.0,0.0,10.0,CH DE LA GRAVE RED - 750ML,750ML,STANDARD,10.0,1,LOW
2020,1,PROXIMO SPIRITS INC,10529,JOSE CUERVO GOLDEN MARGARITA,LIQUOR,46.66,47.0,0.0,JOSE CUERVO GOLDEN MARGARITA - 1.75L,1.75L,LARGE,93.66,1,LOW
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,10545,FERRARI CARANO MERLOT SONOMA,WINE,0.0,0.0,1.0,FERRARI CARANO MERLOT SONOMA - 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,105490,HAKUTSURU SAKE,WINE,3.07,4.0,0.0,HAKUTSURU SAKE - 720ML,720ML,STANDARD,7.07,1,LOW
2020,1,TROEGS BREWING COMPANY,1058,TROEGS HOPBACK ALE,BEER,6.79,9.0,11.0,TROEGS HOPBACK ALE 4/6 NR,4/6NR,MULTI_PACK,26.79,1,LOW
2020,1,LEGENDS LTD,10593,ALHAMBRA RESERVA,BEER,0.0,0.0,2.0,ALHAMBRA RESERVA - 4/6NR 12.0Z,4/6NR,MULTI_PACK,2.0,1,LOW
2020,1,DOPS INC,10603,NORTH COAST OLD RASPUTIN,BEER,0.24,1.0,1.0,NORTH COAST OLD RASPUTIN - 22.0Z,22.0Z,OTHER,2.24,1,LOW
2020,1,LEGENDS LTD,10609,FIRESTONE LUPONIC DISTORTION,BEER,0.0,0.0,1.0,FIRESTONE LUPONIC DISTORTION - 4/6 CAN 12.0Z,4/6CAN,MULTI_PACK,1.0,1,LOW
2020,1,LEGENDS LTD,10610,LAGUNITAS LIL SUMPIN,BEER,1.5,0.0,7.0,LAGUNITAS LIL SUMPIN - 2/12 NR 12.0Z,2/12NR,MULTI_PACK,8.5,1,LOW
2020,1,DIAGEO NORTH AMERICA INC,10634,SMIRNOFF VODKA - CHERRY,LIQUOR,7.02,8.75,1.0,SMIRNOFF VODKA - CHERRY - 1L,1L,LARGE,16.77,1,LOW
2020,1,THE WINE GROUP,10637,CUPCAKE PROSECCO - 187,WINE,4.53,5.0,13.0,CUPCAKE PROSECCO - 187 3PK,3PK,OTHER,22.53,1,LOW
2020,1,THE WINE GROUP,10638,FRANZIA PINK MOSCATO,WINE,2.5,4.0,20.0,FRANZIA PINK MOSCATO - 5L,5L,OTHER,26.5,1,LOW
2020,1,LEGENDS LTD,10646,OSKAR BLUES G'KNIGHT,BEER,0.25,0.0,7.0,OSKAR BLUES G'KNIGHT - 4/6 CAN 12.OZ,4/6CAN,MULTI_PACK,7.25,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",106518,MADFISH WEST AUST SHZ,WINE,0.0,0.0,2.0,MADFISH WEST AUST SHZ - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,JIM BEAM BRANDS CO,10666,SAUZA HORNITOS REPOSATO,LIQUOR,0.16,0.0,0.0,SAUZA HORNITOS REPOSATO - 375ML,375ML,MEDIUM,0.16,1,LOW
2020,1,JIM BEAM BRANDS CO,10667,EFFEN VODKA - BLACK CHERRY,LIQUOR,0.08,0.0,0.0,EFFEN VODKA - BLACK CHERRY - 375ML,375ML,MEDIUM,0.08,1,LOW
2020,1,JIM BEAM BRANDS CO,10668,MAKERS MARK BOURBON,LIQUOR,26.25,21.0,1.0,MAKERS MARK BOURBON - 375ML,375ML,MEDIUM,48.25,1,LOW
2020,1,"THE COUNTRY VINTNER, LLC DBA WINEBOW",10669,TWO JAMES JOHNNY SMOKING GUN WHISKEY,LIQUOR,0.17,0.0,0.0,TWO JAMES JOHNNY SMOKING GUN WHISKEY - 750ML,750ML,STANDARD,0.17,1,LOW
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10675,BRINLEY GOLD SHIPWRECK SPICED RUM,LIQUOR,0.17,1.0,0.0,BRINLEY GOLD SHIPWRECK SPICED RUM - 750ML,750ML,STANDARD,1.17,1,LOW
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10676,BRINLEY GOLD SHIPWRECK COCONUT RUM,LIQUOR,0.17,0.0,0.0,BRINLEY GOLD SHIPWRECK COCONUT RUM - 750ML,750ML,STANDARD,0.17,1,LOW
2020,1,OPICI FAMILY DISTRIBUTING OF MD,10678,BRINLEY GOLD SHIPWRECK COCONUT RUM CREAM,LIQUOR,0.0,1.0,0.0,BRINLEY GOLD SHIPWRECK COCONUT RUM CREAM- 750ML,750ML,STANDARD,1.0,1,LOW
2020,1,MONSIEUR TOUTON SELECTION,106917,ALSACE WILLIAM CREMANT BRUT,WINE,0.0,0.0,4.0,ALSACE WILLIAM CREMANT BRUT - 750ML,750ML,STANDARD,4.0,1,LOW
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,10693,TAYLOR LAKE COUNTRY RED,WINE,3.0,5.0,0.0,TAYLOR LAKE COUNTRY RED - 3L,3L,LARGE,8.0,1,LOW
2020,1,LEGENDS LTD,10696,FIRESTONE VARIETY,BEER,2.0,2.0,13.0,FIRESTONE VARIETY - 2/12 12.OZ CAN,2/12,MULTI_PACK,17.0,1,LOW
2020,1,MICHAEL R DOWNEY SELECTIONS INC,106968,ADRIANO ADAMI PROSECCO BRUT,WINE,0.0,0.0,2.0,ADRIANO ADAMI PROSECCO BRUT - 750ML,750ML,STANDARD,2.0,1,LOW
2020,1,ATLAS BREW WORKS LLC,10711,ATLAS BREW WORKS PONZI,BEER,19.54,22.0,50.75,ATLAS BREW WORKS PONZI - 4/6 12.OZ CAN,4/6,MULTI_PACK,92.28999999999999,1,LOW
2020,1,PRESTIGE BEVERAGE GROUP OF MD LLC,107123,DELLA SCALA P/GRIG,WINE,0.75,0.0,0.0,DELLA SCALA P/GRIG - 750ML,750ML,STANDARD,0.75,1,LOW
2020,1,YOUNG WON TRADING INC,107352,SHO CHIKU BAI NIGORI SAKE,WINE,0.0,0.0,6.0,SHO CHIKU BAI NIGORI SAKE - 375ML,375ML,MEDIUM,6.0,1,LOW
2020,1,THE WINE GROUP,10737,CONCANNON FOUNDERS PETITE SYRAH,WINE,0.32,0.0,2.0,CONCANNON FOUNDERS PETITE SYRAH - 750ML,750ML,STANDARD,2.32,1,LOW
2020,1,FRONT PORCH MICRO WINERY LLC,10738,THE WINERY AT OLNEY CHARD,WINE,0.32,0.0,0.0,THE WINERY AT OLNEY CHARD - 750ML,750ML,STANDARD,0.32,1,LOW
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10740,BERINGER FOUNDERS EST P/GRIG,WINE,3.1,0.0,0.0,BERINGER FOUNDERS EST P/GRIG - 750ML,750ML,STANDARD,3.1,1,LOW
2020,1,TREASURY WINE ESTATES AMERICAS COMPANY,10758,CH ST JEAN CAL MER,WINE,2.81,4.0,9.0,CH ST JEAN CAL MER - 750ML,750ML,STANDARD,15.81,1,LOW
2020,1,TRADEWINDS SPECIALTY IMPORTS LLC,10768,ER BOQUERON,BEER,0.0,0.0,1.0,ER BOQUERON - 330ML,330ML,OTHER,1.0,1,LOW
