year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,package_size,total_sales,quarter
2020,1,AMERICAN BEVERAGE MARKETERS,166661,MASTER OF MIXES COCKTAIL ESSENTIALS SIMPLE SYRUP - NA,NON-ALCOHOL,17.98,23.0,0.0,MASTER OF MIXES COCKTAIL ESSENTIALS SIMPLE SYRUP-NA,UNKNOWN,40.980000000000004,1
2020,1,AMERICAN BEVERAGE MARKETERS,166662,AGALIMA SWEET & SOUR MIX,NON-ALCOHOL,7.13,4.0,0.0,AGALIMA SWEET & SOUR MIX - 1L,1L,11.129999999999999,1
2020,1,AMERICAN BEVERAGE MARKETERS,166663,AGALIMA MARGARITA MIX,NON-ALCOHOL,15.73,13.83,0.0,AGALIMA MARGARITA MIX - 1L,1L,29.560000000000002,1
2020,1,RELIABLE CHURCHILL LLLP,169161,ARIEL CHARD NON ALCOHOLIC,NON-ALCOHOL,3.16,5.0,4.0,ARIEL CHARD NON ALCOHOLIC - 750ML,750ML,12.16,1
2020,1,UNKNOWN,2,ICE,NON-ALCOHOL,542.0,0.0,0.0,ICE,UNKNOWN,542.0,1
2020,1,RELIABLE CHURCHILL LLLP,20694,Q DRINKS GINGER ALE NA,NON-ALCOHOL,0.0,0.0,3.0,Q DRINKS GINGER ALE NA - 6.7OZ,6.7OZ,3.0,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,2461,FINEST CALL LIME JUICE,NON-ALCOHOL,0.0,0.0,1.0,FINEST CALL LIME JUICE - 1L,1L,1.0,1
2020,1,ZURENA LLC,300614,ZURENA LOVE ELIXIR CRAFT COCKTAIL MIXER,NON-ALCOHOL,4.42,0.0,0.0,ZURENA LOVE ELIXIR CRAFT COCKTAIL MIXER - 750ML,750ML,4.42,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,301067,SUTTER HOME FRE' PREMIUM RED,NON-ALCOHOL,0.0,0.0,3.0,SUTTER HOME FRE' PREMIUM RED - 750ML,750ML,3.0,1
2020,1,SAZERAC CO,309096,REGAN ORANGE BITTER 12/CS,NON-ALCOHOL,8.83,8.0,0.0,REGAN ORANGE BITTER 12/CS - 5OZ,5OZ,16.83,1
2020,1,SAZERAC CO,309113,PEYCHAUD BITTERS 12/CS,NON-ALCOHOL,5.4,8.0,0.0,PEYCHAUD BITTERS 12/CS - 5OZ,5OZ,13.4,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,310368,SUTTER HOME FRE MER,NON-ALCOHOL,0.0,0.0,2.0,SUTTER HOME FRE MER - 750ML,750ML,2.0,1
2020,1,RELIABLE CHURCHILL LLLP,311544,ARIEL CAB,NON-ALCOHOL,2.83,3.0,7.0,ARIEL CAB - 750ML,750ML,12.83,1
2020,1,RELIABLE CHURCHILL LLLP,319764,ANGOSTURA BITTERS 48/CS,NON-ALCOHOL,5.33,11.0,0.0,ANGOSTURA BITTERS 48/CS - 4OZ,4OZ,16.33,1
2020,1,RELIABLE CHURCHILL LLLP,319771,ANGOSTURA BITTERS,NON-ALCOHOL,3.18,6.0,2.0,ANGOSTURA BITTERS - 16OZ,16OZ,11.18,1
2020,1,RELIABLE CHURCHILL LLLP,324028,GEORGES BLOODY MARY MILD,NON-ALCOHOL,3.96,2.0,5.0,GEORGES BLOODY MARY MILD - 32OZ,32OZ,10.96,1
2020,1,RELIABLE CHURCHILL LLLP,324238,GEORGES BLOODY MARY SPICEY,NON-ALCOHOL,6.11,7.0,1.0,GEORGES BLOODY MARY SPICEY - 32OZ,32OZ,14.11,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,325406,SUTTER HOME FRE' SPARK,NON-ALCOHOL,0.0,0.0,4.0,SUTTER HOME FRE' SPARK - 750ML,750ML,4.0,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,325414,SUTTER HOME FRE' WH ZIN,NON-ALCOHOL,0.0,1.92,6.0,SUTTER HOME FRE' WH ZIN - 750ML,750ML,7.92,1
2020,1,BACCHUS IMPORTERS LTD,326319,BARKEEP LAVENDER ORG BITTERS,NON-ALCOHOL,0.34,1.0,0.0,BARKEEP LAVENDER ORG BITTERS - 8OZ,8OZ,1.34,1
2020,1,AMERICAN BEVERAGE MARKETERS,329606,FINEST CALL BLOODY MARY HABANE,NON-ALCOHOL,0.49,0.0,2.0,FINEST CALL BLOODY MARY HABANE - 1L,1L,2.49,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,355076,PAULANER WEIZ RADLER NA 4X6 NR,NON-ALCOHOL,0.0,0.0,3.0,PAULANER WEIZ RADLER NA 4X6 NR - 11.2OZ,11.2OZ,3.0,1
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,41910,FEVER TREE CITRUS TONIC 6/,NON-ALCOHOL,27.23,35.0,0.0,FEVER TREE CITRUS TONIC 6/4PK - 200ML,4PK,62.230000000000004,1
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,41912,FEVER TREE PREM INDIAN TONIC 6/,NON-ALCOHOL,43.2,61.0,2.0,FEVER TREE PREM INDIAN TONIC 6/4PK - 200ML,4PK,106.2,1
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,41914,FEVER TREE AROMATIC TONIC 6/,NON-ALCOHOL,13.0,22.0,0.0,FEVER TREE AROMATIC TONIC 6/4PK - 200ML,4PK,35.0,1
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,41916,FEVER TREE GINGER BEER 6/,NON-ALCOHOL,34.02,56.0,27.0,FEVER TREE GINGER BEER 6/4PK - 200ML,4PK,117.02000000000001,1
2020,1,SOUTHERN GLAZERS WINE AND SPIRITS,42099,FEVER TREE ELDERFLOWER TONIC WATER 6/,NON-ALCOHOL,17.56,27.0,0.0,FEVER TREE ELDERFLOWER TONIC WATER 6/4PK - 200ML,4PK,44.56,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,43893,FINEST CALL GRENADINE,NON-ALCOHOL,0.0,0.0,1.0,FINEST CALL GRENADINE - 1L,1L,1.0,1
2020,1,REPUBLIC NATIONAL DISTRIBUTING CO,45278,ZING ZING BLOODY MARY MIX,NON-ALCOHOL,11.67,13.0,7.0,ZING ZING BLOODY MARY MIX - 32OZ,32OZ,31.67,1
2020,1,RELIABLE CHURCHILL LLLP,50632,Q DRINKS GINGER BEER 6/,NON-ALCOHOL,0.0,0.0,10.0,Q DRINKS GINGER BEER 6/4 CAN - 7OZ,4CAN,10.0,1
2020,1,RELIABLE CHURCHILL LLLP,50680,Q DRINKS GINGER BEER LOOSE NA,NON-ALCOHOL,0.0,0.0,5.0,Q DRINKS GINGER BEER LOOSE NA - 6.7OZ,6.7OZ,5.0,1
2020,1,RELIABLE CHURCHILL LLLP,50681,Q DRINKS GRAPEFRUIT NA,NON-ALCOHOL,0.0,0.0,1.0,Q DRINKS GRAPEFRUIT NA - 6.7OZ,6.7OZ,1.0,1
2020,1,RELIABLE CHURCHILL LLLP,50691,Q DRINKS CLUB SODA NA,NON-ALCOHOL,0.0,0.0,8.0,Q DRINKS CLUB SODA NA - 6.7OZ,6.7OZ,8.0,1
2020,1,RELIABLE CHURCHILL LLLP,50692,Q DRINKS INDIAN TONIC NA,NON-ALCOHOL,0.0,0.0,2.0,Q DRINKS INDIAN TONIC NA - 6.7OZ,6.7OZ,2.0,1
2020,1,LEGENDS LTD,63744,LAGUNITAS HOP REFRESHER NA 6/4 NR,NON-ALCOHOL,5.01,6.0,20.0,LAGUNITAS HOP REFRESHER NA 6/4 NR,6/4NR,31.009999999999998,1
