year,month,supplier,item_code,item_description,item_type,retail_sales,retail_transfers,warehouse_sales,original_description,package_size,total_sales,quarter,operational_activity
2020,1,Default,102,TWO BOTTLE WINE TOTE,STR_SUPPLIES,0.1,0.0,0.0,TWO BOTTLE WINE TOTE,UNKNOWN,0.1,1,LOW
2020,1,LEGENDS LTD,10387,FIRESTONE NITRO MERLIN,KEGS,0.0,0.0,1.0,FIRESTONE NITRO MERLIN - 50L,50L,1.0,1,LOW
2020,1,Default,104,FOUR BOTTLE WINE TOTE,STR_SUPPLIES,0.4,0.0,0.0,FOUR BOTTLE WINE TOTE,UNKNOWN,0.4,1,LOW
2020,1,Default,105,WINE GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,10.6,0.0,0.0,WINE GIFT TOTE SINGLE BOTTLE,UNKNOWN,10.6,1,MEDIUM
2020,1,LEGENDS LTD,10586,ALHAMBRA RESERVA,KEGS,0.0,0.0,1.0,ALHAMBRA RESERVA 20L-1/6K,20L,1.0,1,LOW
2020,1,Default,106,SIX BOTTLE WINE TOTE (NO LOGO),STR_SUPPLIES,2.1,6.0,0.0,SIX BOTTLE WINE TOTE (NO LOGO),UNKNOWN,8.1,1,LOW
2020,1,LEGENDS LTD,10632,FIRESTONE LUPONIC DISTORTION,KEGS,0.0,0.0,2.0,FIRESTONE LUPONIC DISTORTION - 50L,50L,2.0,1,LOW
2020,1,UNKNOWN,107,JIGGER MEASURE SHOT GLASS,STR_SUPPLIES,14.69,18.0,0.0,JIGGER MEASURE SHOT GLASS,UNKNOWN,32.69,1,MEDIUM
2020,1,SIERRA NEVADA BREWING CO,10836,SIERRA NEVADA KELLERWEIS,KEGS,0.0,0.0,1.0,SIERRA NEVADA KELLERWEIS - 1/6K,1/6K,1.0,1,LOW
2020,1,Default,109,WINE TOTE WOOD HANDLE 2 POCKET 4 BTL,STR_SUPPLIES,2.8,0.0,0.0,WINE TOTE WOOD HANDLE 2 POCKET 4 BTL,UNKNOWN,2.8,1,LOW
2020,1,LEGENDS LTD,10946,FOUNDERS NITRO RUBAEUS,KEGS,0.0,0.0,4.0,FOUNDERS NITRO RUBAEUS - 1/2K,1/2K,4.0,1,LOW
2020,1,LEGENDS LTD,10953,FOUNDERS ALL DAY,KEGS,0.0,0.0,8.0,FOUNDERS ALL DAY - 1/2K,1/2K,8.0,1,LOW
2020,1,Default,110,WINE BOTTLE TOTE 6 BTL HEAVY DUTY,STR_SUPPLIES,0.2,0.0,0.0,WINE BOTTLE TOTE 6 BTL HEAVY DUTY,UNKNOWN,0.2,1,LOW
2020,1,UNKNOWN,113,BARTENDERS BLACK BOOK,STR_SUPPLIES,0.4,0.0,0.0,BARTENDERS BLACK  BOOK,UNKNOWN,0.4,1,LOW
2020,1,Default,114,WINE PAPER GIFT TOTE SINGLE BOTTLE,STR_SUPPLIES,47.72,64.0,0.0,WINE PAPER GIFT TOTE SINGLE BOTTLE,UNKNOWN,111.72,1,HIGH
2020,1,UNKNOWN,115,PLASTIC SHOT GLASS PACK,STR_SUPPLIES,5.71,6.0,0.0,PLASTIC SHOT GLASS PACK,UNKNOWN,11.71,1,MEDIUM
2020,1,UNKNOWN,117,WHISKEY TASTING JOURNAL,STR_SUPPLIES,0.08,0.0,0.0,WHISKEY TASTING JOURNAL,UNKNOWN,0.08,1,LOW
2020,1,UNKNOWN,118,PLASTIC WINE GLASS PACK,STR_SUPPLIES,7.4,10.0,0.0,PLASTIC WINE GLASS PACK,UNKNOWN,17.4,1,MEDIUM
2020,1,DELMAR BREWING COMPANY LLC,11811,EVOLUTION NITRO RISE UP STOUT,KEGS,0.0,0.0,2.0,EVOLUTION NITRO RISE UP STOUT - 1/2K,1/2K,2.0,1,LOW
2020,1,UNKNOWN,119,BRUMATE WINE TUMBLER,STR_SUPPLIES,9.0,32.0,0.0,BRUMATE WINE TUMBLER,UNKNOWN,41.0,1,MEDIUM
2020,1,RIGHT FORWARD LLC,11918,RIGHT PROPER RAISED BY WOLVES,KEGS,0.0,0.0,5.0,RIGHT PROPER RAISED BY WOLVES - 1/2K,1/2K,5.0,1,LOW
2020,1,DELMAR BREWING COMPANY LLC,11987,EVOLUTION SOUTHERN PECAN PIE,KEGS,0.0,0.0,1.0,EVOLUTION SOUTHERN PECAN PIE - 1/6K,1/6K,1.0,1,LOW
